id,tag,text
874397696,奥黛丽,既然你都这么诚心的表达出对我的仰慕了，那让我来接受你的礼物倒也不是不可以了。你可不要想太多了。
888658971,信,当心手雷。
852284654,未知,哼。
86121636,香奈美,我随便哼的，曲调好像也不错呢。
782659418,系统语音,敌方还差五名击败获胜。
732195037,香奈美,谁快来帮帮我呀。
740019709,明,抱歉。
800399227,拉薇,警报器发现敌人。
725850434,奥黛丽,你要喝红茶吗？这可是我亲手调制的。当然，如果你并没有想喝的意思。我也是无所谓的，哼。
754267388,星绘,我的名字和这片星空有着密不可分的联系。因此，我从小就喜欢翻阅这些与星星有关的书籍，至于现在，早已习惯成自然。
802101001,米雪儿,喵喵，卫视布防完毕。
889995376,拉薇,我将揭开卡拉比丘的虚伪面纱。
733657971,香奈美,卡拉比丘。
892742725,香奈美系统语音,聚光灯关上了，表演也结束了。
897429453,未知,嘿。
810322042,白墨,结束了吗？
787742382,星绘,刚才那一瞬间，我的心里有了新的目标。那便是成为你的力量。如果能帮上忙的话。秦浩。还请你多多关照啦。
890341473,白墨,这就是乌尔比诺的自由之道。
754702244,香奈美,如果我们的故事能谱写成一首旋律，那当下的一秒也不过是众多音符中的一个，它的存在却能让这首旋律变得与众不同。这很珍贵，不是吗？
738149377,梅瑞狄斯,撤退。
858987784,梅瑞狄斯,你做得很好。
836817550,香奈美,如果每天持续做同一件事情。时间久了，它就会变成你生活中的一部分。
700557685,未知,
84262417,信,这里有护甲。
729323550,心夏,就这样出发吧。
844219627,白墨,想干掉我没门。
764205294,明,我有责任去战斗，去反抗。当然。这也有可能只是我的执念罢了。
889302166,令,拦截器已部署。
84024204,心夏,投掷手雷哦。
746301018,米雪儿,炸弹在这儿，大家快来。
867801258,系统语音,超弦击破。
812649991,玛德蕾娜,我把炸弹放在这儿了。
841354679,令,
859197838,香奈美,这就是为你准备的演出。
747757120,拉薇,卡拉比丘。
872126335,明,呀。
788782601,米雪儿,我可是为正义出击。
861414356,拉薇,果然，有时候听歌也要换一换风格的嘛。
868394665,奥黛丽,我辜负了家族的期望。
887553339,未知,的。
719670976,星绘,很好。
739312995,香奈美,你是在鼓励我吗？那我就更有干劲完成今天的排练啦。
887382677,拉薇,樱花飘雪。月色。不过是一时之美。而他却求得了永恒。这恐怕。是因为有你的眷顾吧？
850430378,拉薇,你是要使用这个吗？
757417249,米雪儿,正义捍卫成功。
704454050,系统语音,准备防守，选择你的角色。
707947178,香奈美,
831873323,拉薇,糟糕。
886229883,明,啊，解开了，你别说，这玩意儿还真挺有趣的嘛。
837377213,香奈美,明，无论如何我都会帮你的。
705870381,白墨,这个时代属于乌尔比诺。
878448960,心夏,我拿到了炸弹。
889847036,明,给我继续战斗吧。
892446555,星绘,建议突袭这里。
